number,title,difficulty,leetcode_link,theme,ideas,solution_1,solution_2,solution_3
1,Two Sum,Easy,https://leetcode.com/problems/two-sum/,,,1,1,1
2,Valid Parentheses,Easy,https://leetcode.com/problems/valid-parentheses/,,,1,0,0
3,Remove Element,Easy,https://leetcode.com/problems/remove-element/,,,0,0,0
4,Symmetric Tree,Easy,https://leetcode.com/problems/symmetric-tree/,,,1,0,0
5,Maximum Depth of Binary Tree,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/,,,1,0,0
6,Best Time to Buy and Sell Stock,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,,,1,1,0
7,Valid Palindrome,Easy,https://leetcode.com/problems/valid-palindrome/,,,1,0,0
8,Min Stack,Easy,https://leetcode.com/problems/min-stack/,,,1,1,0
9,Majority Element,Easy,https://leetcode.com/problems/majority-element/,,,1,0,0
10,Isomorphic Strings,Easy,https://leetcode.com/problems/isomorphic-strings/,,,0,0,0
11,Reverse Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/,,,1,0,0
12,Summary Ranges,Easy,https://leetcode.com/problems/summary-ranges/,,,0,0,0
13,Palindrome Linked List,Easy,https://leetcode.com/problems/palindrome-linked-list/,,,0,0,0
14,Valid Anagram,Easy,https://leetcode.com/problems/valid-anagram/,,,1,0,0
16,Move zeros,Easy,https://leetcode.com/problems/move-zeroes/description/,,,1,0,0
17,Intersection of Two Arrays II,Easy,https://leetcode.com/problems/intersection-of-two-arrays-ii/,,,0,0,0
18,Max Consecutive Ones,Easy,https://leetcode.com/problems/max-consecutive-ones/,,,0,0,0
19,Robot Return to Origin,Easy,https://leetcode.com/problems/robot-return-to-origin/,,,0,0,0
20,Valid palindrome II,Easy,https://leetcode.com/problems/valid-palindrome-ii/description/,,,0,0,0
21,Squares of a sorted array,Easy,https://leetcode.com/problems/squares-of-a-sorted-array/description/,,,0,0,0
22,Find the Difference of Two Arrays,Easy,https://leetcode.com/problems/find-the-difference-of-two-arrays/,,,0,0,0
23,Add Two Numbers,Medium,https://leetcode.com/problems/add-two-numbers/,,,1,0,0
24,Longest Substring Without Repeating Characters,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,,1,0,0
25,Longest Palindromic Substring,Medium,https://leetcode.com/problems/longest-palindromic-substring/,Two pointers,Choose center and expand,1,0,0
26,Search in Rotated Sorted Array,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/,,,1,0,0
27,Merge Intervals,Medium,https://leetcode.com/problems/merge-intervals/,,,1,0,0
28,Simplify Path,Medium,https://leetcode.com/problems/simplify-path/,"String, Stack",,0,0,0
29,Restore IP Addresses,Medium,https://leetcode.com/problems/restore-ip-addresses/,,,0,0,0
30,Validate Binary Search Tree,Medium,https://leetcode.com/problems/validate-binary-search-tree/,,,1,0,0
31,LRU Cache,Medium,https://leetcode.com/problems/lru-cache/,,,0,0,0
32,Evaluate Reverse Polish Notation,Medium,https://leetcode.com/problems/evaluate-reverse-polish-notation/,,,1,0,0
33,One Edit Distance,Medium,https://leetcode.com/problems/one-edit-distance/,,,0,0,0
34,Number of Islands,Medium,https://leetcode.com/problems/number-of-islands/,,,1,0,0
35,Product of Array Except Self,Medium,https://leetcode.com/problems/product-of-array-except-self/,,,1,0,0
36,Longest Increasing Subsequence,Medium,https://leetcode.com/problems/longest-increasing-subsequence/,,,0,0,0
37,Longest Subarray with At most K Distinct characters,Medium,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,,,0,0,0
38,Top K Frequent Elements,Medium,https://leetcode.com/problems/top-k-frequent-elements/,,,1,0,0
39,Line reflection,Medium,https://leetcode.com/problems/line-reflection/,,,0,0,0
40,Design Hit Counter,Medium,https://leetcode.com/problems/design-hit-counter/,,,0,0,0
41,Insert Delete GetRandom O(1),Medium,https://leetcode.com/problems/insert-delete-getrandom-o1/,,,0,0,0
42,Find All Anagrams in a String,Medium,https://leetcode.com/problems/find-all-anagrams-in-a-string/,,,1,0,0
43,String Compression,Medium,https://leetcode.com/problems/string-compression/,,,0,0,0
44,Max Consecutive Ones II,Medium,https://leetcode.com/problems/max-consecutive-ones-iii/,,,0,0,0
45,Subarray Sum Equals K,Medium,https://leetcode.com/problems/subarray-sum-equals-k/,,,0,0,0
46,Permutation in String,Medium,https://leetcode.com/problems/permutation-in-string/,,,0,0,0
47,Find K closest elements,Medium,https://leetcode.com/problems/find-k-closest-elements/description/,,,0,0,0
48,Top K Frequent Words,Medium,https://leetcode.com/problems/top-k-frequent-words/,,,1,0,0
49,Partition labels,Medium,https://leetcode.com/problems/partition-labels/,,,1,0,0
50,Maximize Distance to Closest Person,Medium,https://leetcode.com/problems/maximize-distance-to-closest-person/,,,1,0,0
51,Sort the Matrix Diagonally,Medium,https://leetcode.com/problems/sort-the-matrix-diagonally/,,,0,0,0
52,Longest Subarray of 1's After Deleting One Element,Medium,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/,,,0,0,0
53,Design an ATM Machine,Medium,https://leetcode.com/problems/design-an-atm-machine/,,,0,0,0
54,Promise pool,Medium,https://leetcode.com/problems/promise-pool/,,,0,0,0
55,Flatten deeply nested array,Medium,https://leetcode.com/problems/flatten-deeply-nested-array/description/,,,0,0,0
56,Find the Prefix Common Array of Two Arrays,Medium,https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays/,,,0,0,0
57,Event Emmiter,Medium,https://leetcode.com/problems/event-emitter/,,,0,0,0
58,Trapping Rain Water,Hard,https://leetcode.com/problems/trapping-rain-water/,,,0,0,0
59,Minimum Window Substring,Hard,https://leetcode.com/problems/minimum-window-substring/,,,0,0,0
60,Binary Tree Maximum Path Sum,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/,,,0,0,0
61,Candy,Hard,https://leetcode.com/problems/candy/,,,0,0,0
62,Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum/,,,1,0,0
63,Remove invalid parenthless,Hard,https://leetcode.com/problems/remove-invalid-parentheses/description/,,,0,0,0
